,date,pollster,remain,leave,undecided,data_from,method,sample_size
0,2016-06-30,BMG Research,0.45,0.37,0.19,Great Britain,Online,1500
1,2016-06-30,Opinium,0.48,0.42,0.09,Great Britain,Online,1001
2,2016-10-12,Survation,0.44,0.44,0.13,Great Britain,Online,2017
3,2017-04-24,Panelbase,0.46,0.5,0.04,Great Britain,Online,1008
4,2017-05-02,Panelbase,0.48,0.49,0.03,Great Britain,Online,1184
5,2017-05-09,Panelbase,0.47,0.49,0.04,Great Britain,Online,2013
6,2017-05-15,Panelbase,0.47,0.5,0.03,Great Britain,Online,1144
7,2017-05-23,Panelbase,0.48,0.49,0.04,Great Britain,Online,2049
8,2017-05-30,Kantar,0.35,0.38,0.27,Great Britain,Online,1013
9,2017-06-01,Panelbase,0.47,0.49,0.02,Great Britain,Online,1533
10,2017-06-07,Panelbase,0.46,0.51,0.03,Great Britain,Online,2028
11,2017-06-21,Panelbase,0.46,0.5,0.04,Great Britain,Online,1133
12,2017-08-18,Opinium,0.39,0.34,0.27,Great Britain,Online,2001
13,2017-09-15,Opinium,0.45,0.45,0.1,Great Britain,Online,2033
14,2017-09-22,Opinium,0.45,0.44,0.12,Great Britain,Online,1152
15,2017-10-20,Opinium,0.46,0.45,0.09,Great Britain,Online,2030
16,2017-11-01,British Social Attitudes (NatCen),0.51,0.36,0.13,Great Britain,Online,1061
17,2017-12-10,ICM,0.46,0.43,0.05,Great Britain,Online,1172
18,2018-01-11,ComRes,0.51,0.43,0.06,Great Britain,Online,1010
19,2018-01-19,ICM,0.45,0.43,0.12,Great Britain,Online,2084
20,2018-01-19,Sky Data,0.49,0.41,0.1,Great Britain,Online,2033
21,2018-02-16,Sky Data,0.46,0.42,0.12,Great Britain,Online,1152
22,2018-03-02,ComRes,0.43,0.46,0.12,Great Britain,Online,2042
23,2018-03-08,ORB,0.44,0.49,0.07,Great Britain,Online,1027
24,2018-04-06,YouGov,0.44,0.41,0.15,Great Britain,Online,2004
25,2018-04-08,ICM,0.45,0.44,0.11,Great Britain,Online,1145
26,2018-05-16,Deltapoll,0.47,0.42,0.11,United Kingdom,Online,2083
27,2018-06-27,YouGov,0.44,0.44,0.12,Great Britain,Online,2031
28,2018-07-06,YouGov,0.47,0.41,0.13,Great Britain,Online,1070
29,2018-07-09,Kantar,0.4,0.32,0.28,Great Britain,Online,2010
30,2018-07-14,Deltapoll,0.45,0.45,0.11,Great Britain,Online,1106
31,2018-07-31,YouGov,0.46,0.41,0.13,Great Britain,Online,25537
32,2018-08-07,YouGov,0.46,0.4,0.14,Great Britain,Online,1660
33,2018-08-13,Kantar,0.4,0.35,0.25,Great Britain,Online,2022
34,2018-08-20,YouGov,0.46,0.41,0.13,Great Britain,Online,1178
35,2018-09-04,YouGov,0.46,0.42,0.12,United Kingdom,Online,2007
36,2018-09-09,ICM,0.46,0.42,0.12,Great Britain,Online,1655
37,2018-09-10,Kantar,0.42,0.35,0.22,Great Britain,Online,2000
38,2018-10-15,Kantar,0.38,0.35,0.27,Great Britain,Online,1153
39,2018-10-26,Deltapoll,0.4,0.4,0.2,Great Britain,Online,1147
40,2018-11-06,Populus,0.47,0.4,0.13,Great Britain,Online,3344
41,2018-11-07,Panelbase,0.51,0.46,0.04,Great Britain,Online,2016
42,2018-11-09,YouGov,0.45,0.41,0.13,Great Britain,Online,8154
43,2018-11-12,Kantar,0.39,0.34,0.27,Great Britain,Online,1017
44,2018-11-15,YouGov,0.46,0.4,0.14,Great Britain,Online,1128
45,2018-11-15,ComRes,0.45,0.43,0.12,Great Britain,Online,1119
46,2018-11-29,YouGov,0.47,0.39,0.14,Great Britain,Online,2051
47,2018-12-04,Opinium,0.45,0.45,0.1,Great Britain,Online,10215
48,2018-12-06,Kantar,0.36,0.33,0.31,Great Britain,Online,10299
49,2018-12-14,Deltapoll,0.44,0.43,0.12,Great Britain,Online,1119
50,2018-12-15,YouGov,0.46,0.37,0.17,Great Britain,Online,10121
51,2019-01-04,YouGov,0.46,0.39,0.15,Great Britain,Online,4957
52,2019-01-14,Kantar,0.44,0.35,0.21,Great Britain,Online,1484
53,2019-01-15,ComRes,0.44,0.4,0.16,Great Britain,Online,1086
54,2019-01-16,YouGov,0.48,0.38,0.14,Great Britain,Online,10383
55,2019-01-17,ComRes,0.47,0.39,0.14,Great Britain,Online,1626
56,2019-01-17,ORB,0.48,0.42,0.11,Great Britain,Online,2006
57,2019-02-11,Kantar,0.43,0.35,0.22,Great Britain,Online,2012
58,2019-02-11,Deltapoll,0.43,0.43,0.13,Great Britain,Online,1636
59,2019-02-23,Deltapoll,0.45,0.41,0.13,United Kingdom,Online,2092
60,2019-03-05,ComRes,0.46,0.39,0.15,Great Britain,Online,1096
61,2019-03-11,Kantar,0.4,0.32,0.29,Great Britain,Online,1482
62,2019-03-17,ComRes,0.45,0.39,0.16,Great Britain,Online,1096
63,2019-03-19,YouGov,0.46,0.41,0.14,Great Britain,Online,5075
64,2019-03-30,Deltapoll,0.46,0.39,0.15,Great Britain,Online,1049
65,2019-04-08,Kantar,0.41,0.35,0.24,Great Britain,Online,2006
66,2019-04-16,ComRes,0.52,0.38,0.1,Great Britain,Face-to-face,3988
67,2019-04-24,Panelbase,0.51,0.45,0.04,United Kingdom,Online,1005
68,2019-05-13,Kantar,0.42,0.33,0.25,United Kingdom,Online,2004
69,2019-05-21,Panelbase,0.52,0.45,0.03,Great Britain,Online,2009
70,2019-07-27,Deltapoll,0.45,0.41,0.13,United Kingdom,Online,2006
71,2019-08-19,Kantar,0.36,0.35,0.29,Great Britain,Online,5481
72,2019-08-31,Deltapoll,0.46,0.41,0.14,Great Britain,Online,3018
73,2019-09-04,YouGov,0.46,0.43,0.12,Great Britain,Online,1224
74,2019-09-06,Panelbase,0.52,0.45,0.03,Great Britain,Online,1199
75,2019-09-07,Deltapoll,0.46,0.4,0.14,Great Britain,Online,1019
76,2019-09-09,Kantar,0.37,0.34,0.28,Great Britain,Online,1026
77,2019-10-11,Panelbase,0.51,0.45,0.03,Great Britain,Online,1027
78,2019-10-15,Kantar,0.38,0.37,0.25,Great Britain,Online,1034
79,2019-10-18,Panelbase,0.49,0.47,0.03,Great Britain,Online,1026
80,2019-10-21,Deltapoll,0.49,0.4,0.12,United Kingdom,Online,1002
81,2019-10-31,Panelbase,0.51,0.46,0.03,Great Britain,Online,2006
82,2019-11-02,Deltapoll,0.43,0.41,0.16,United Kingdom,Telephone Interviews,1017
